Topic;ID;Question;Reference;Enviroment;Resolution
;;;;;
Notifying staff of new incidents;Answer ID 1;Can I receive an email when users have requested help and an incident is created?;['Answer ID 7880', 'Answer ID 5168'];  Staff Notifications;"  Incident Assigned Notification The Incident Assigned notification notifies staff members when new incidents are assigned to them. The Â Incident Assigned message is a notification that displays in the Notifications section of the Communication Center. Each staff member's account can be configured to send an email notification to the staff member when the staff member is not logged in to Oracle B2C Service. That is, if the staff member is not logged in and an incident is assigned to them, the staff member can receive an email in their Inbox informing them that a notification has been sent to them and that they should log in to determine what action needs to be done regarding that incident. To configure a staff account to send an email notification to an Inbox when the staff member is not logged in to Oracle B2C Service, use the steps below: Click the Configuration button and select Staff Management Open either the 'Staff Accounts by Group', 'Staff Accounts by Manager' or 'Staff Accounts by Profile' reports and double click the Staff Account you would like to edit. On the Staff Account details, select the appropriate Email Notification. Â  Â To send an email for every event that triggers a notification, select the 'Detailed Notification Always' option. Â  Â  Click Save  To enable the Incident Assigned message: use the steps below: From the Common Administration items, select Communication Configuration &gt; Message Templates. In the left-hand frame, right click on the interface name and select Edit. From the top ribbon, Â select Administrator Notifications, make sure the check box is enabled for the Incident Assigned message. Click Deploy and then Save &amp; Close.  For additional information on deploy changes made to message templates, refer to Answer ID 7880: Message Templates are not getting deployed and saved.  Send Email to Non-Assigned Staff Members If you would like to be notified of new incidents and are not the staff member to whom the incidents are assigned, you can use a business rule to email the incident information to you when the incident is created. The Email Incident Notification message must be enabled in the Message Templates Â table. Use the steps below to create a business rule that emails the incident information: Click on the Configuration button and select Site Configuration and then Rules. Click the Incident button in the ribbon and then click the Edit button in the ribbon. In the left frame, right click on the incident state that is the initial state and select New Rule. In the right frame, configure the rule: Enter the Rule Name then select 'Incident' in the Add IF Condition Based On drop-down menu IF section: Â  Â specify which incidents to be notified of THEN section: click the drop-down arrow next to Add Action and select Email, then Email Incident Information Include whatever other actions are appropriate Click Save Position the rule appropriately within the rule list. Compile and activate the rule set. Submit a test incident to verify your rules are working correctly.  For more information on staff notifications, refer to the 'Notifications' section in online documentation for the version your site is currently running. Â  To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products."
;;;;;
Automatically assigning incidents to staff members;Answer ID 9;Is there a way of assigning incoming incidents automatically to staff members?;['Answer ID 2205', 'Answer ID 1041', 'Answer ID 5168'];  Business Rules, All versions; The rules feature of Oracle B2C Service allows you to assign incidents from incoming assistance requests to specific staff members. The routing criteria may be assigned based on the email address, specific contents of the assistance request, or specific contact or organization information. For Â information on best practices for configuring rules, refer to Answer ID 2205: Best Practices for Setting up Incident Rules. Configuring the rule: Each rule consists of two primary sections. The IF section defines criteria that must be met in order for the rule to act upon the incident. The THEN section defines the actions that are executed on the newly created incident, including assigning the incident to a specific staff member. You can have several IF conditions within a single rule. The THEN part of the rule includes the action that assigns the incident to specified group or staff member. Â You should also include an action to transition the rule to another state. You can edit the Logical Expression field to specify an OR relationship between conditions. For more information on using logical expressions, refer to Answer ID 1041: Using the Logical Expression Feature. A single business rule can also perform more than one action. For instance, you can use a business rule to assign an incident to a staff member, assign the Product, Category, Custom field or Status, respond to the incident and send a copy of the incident to other staff members. For more information on setting up business rules, refer to the 'Business Rules Management' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products.
;;;;;
Sending incident responses to more than one email address;Answer ID 17;Can I enter both the original contact, as well as the main supportÃ‚Â addresses in the contact email address field?;['Answer ID 1972'];  Incident response messages, All versions;" When sending responses, the contact email address field should have only a single address in it. When editing an incident, you can enter additional email addresses in the CC  Â or Â  BCC field. The response is sent to all email addresses specified in those fields for that specific response. If you send a response later, you will need to re-add those addresses if you wish to copy the recipient again on a future response. To do this, click the Options button to display the BCC field and Â CC field. You must select the Show BCC check box and Show CC check box on the Options window. The fields will show up once you click the Send on Save button. Refer to Answer ID 1972: Using the CC or BCC field with an incident response.  Adding secondary contacts to an incident Any contact record in your site can be added to the incident as a secondary contact. The secondary contact does not have to belong to the same organization record as the primary. To add a secondary contact, using the default workspace configuration, open the incident, click the Contacts tab and Â look for the Contacts sub-tab. Select Add New to add a new contact record or Add Existing to search for and select an existing contact record. All contacts listed in that section will receive any response sent for that incident since they are either the primary contact or is a secondary contact  Â  Adding a custom field for an alternate email address To allow end-users the ability to enter additional email addresses for incidents, you could create a custom incident field named alternateemail that allows users to specify an email address to be copied on when a response is sent. Â  In this case, the email address listed in the alternateemail field Â would be Â added to the CC: field when the response is sent. If this field is set up to allow end-users to edit the field, it will appear on the Ask a Question page and end-users will have the option of specifying additional addresses to receive copies of responses for the incident they are submitting. To create the alternateemail custom incident field, use the steps below: Click the Configuration button on the navigation pane. Double-click Custom Fields under Database. Â  Select Â Incident under the Custom Â Fields tree. Click the New button on the ribbon. Â  Type Â the name you want to give your custom field Â in the Name text box. For example, Alternate Email. Click the Data Type drop-down and select Text Field. Â  Enter information for each field using Â the specifications Â below. Column Name: alternateemail Default value: Leave blankUsage: Plain Text (Note: the Email Address option automatically sets the size of field to 80) Size of Field: Size of your choice, 255 is the max Required fields: Leave check box unchecked Interface Visibility: Check the Administration Display and Administration Edit check boxes. If you wish to allow end-users to access this field, check the End User Display and End User Edit check boxes. Click the Save button on the ribbon.  Note: When creating this custom field, you can specify the size to be any numerical value up to 255 characters. Any characters exceeding the length you specify will be truncated when the incident is saved. As a result, if a list of several email addresses is entered, the last email may only be partially saved and incident responses cannot be sent to the truncated email address. If a custom field with this name has been configured, Â Service will email a copy of the responses Â in the incident to the email address that is listed in the field.  Â  Sending copies of all responses to someone To send copies of all responses to an individual, you can set up a rule. You would not need to use the alternateemail custom field to do this. An example of this type of rule is: For the appropriate state: IF appropriate conditions of your choosing here THEN Email &gt; Email Incident Information &gt; indicate recipient"
;;;;;
Oracle B2C Service Infrastructure Requirements;Answer ID 31;What are the infrastructure requirements to run Oracle B2C ServiceÃ‚Â products?;['Answer ID 11540', 'Answer ID 11390', 'Answer ID 11249', 'Answer ID 11018', 'Answer ID 10891', 'Answer ID 10580', 'Answer ID 10481', 'Answer ID 10343', 'Answer ID 6532', 'Answer ID 9527'];   System Requirements Oracle B2C Service,Ã‚Â All support versions;"  Proper configuration and maintenance of your environment is crucial to your success. Â  Â Critical environmental considerations are detailed in the documents below. Efficient troubleshooting of issues which potentially have an environmental component will require your verification that your environment is configured in accordance with the guide below specific to your site version Â by providing the diagnostics we require. Â  Â Our Oracle B2C Service Technical Support representatives will ask you for confirmation as one of the first steps to troubleshoot such issues, and may ask you to run some tools on workstations to give us a more accurate picture of the issue that's occurring. Â  Â  Your IT Contact will need to review the Infrastructure Requirements and verify that the Network and Workstation Environments meet the requirements specified. Â  Â We are not able to assist your IT team in configuring or troubleshooting your network or workstations. Â  Â We will provide analysis of the issue through the data that is provided back to us that we have requested. Your IT team is required to troubleshoot and configure your network and workstations. Please refer to the document below Â for the Â version your site is currently running Â for details on Â the following topics:  Hardware Configuration Workstation Operating Systems Workstation Display Settings .NET Framework Supported Web Browsers Mobile Operating Systems and Browsers Oracle B2C Service Wireless WebDAV Clients Microsoft Office Email Clients Citrix VM Ware vSphere  Oracle B2C Service 20B .NET Client Infrastructure Requirements Oracle B2C Service 20A .NET Client Infrastructure Requirements Oracle B2C Service 19D .NET Client Infrastructure Requirements Oracle B2C Service 19C .NET Client Infrastructure Requirements Oracle B2C Service 19B .NET Client Infrastructure Requirements Oracle B2C Service 19A .NET Client Infrastructure Requirements Oracle B2C Service 18D .NET Client Infrastructure RequirementsÃ¢â‚¬â€¹ Ã¢â‚¬â€¹Oracle B2C Service 18C .NET Client Infrastructure RequirementsÃ¢â‚¬â€¹   System requirements differ depending on the type of user: End-user: An end-user is someone who can access only the end-user interface, such as the Support Home page, the Login and Answers pages and the Account section of the application. End-users do not have a login for the administration pages. Agent: Agents are users that can access any combination of the administration Â pages excluding the Administration and Analytics consoles. Agents can access the different records in Oracle B2C Service, such as incidents, answers, opportunities, contacts, campaigns, and organizations. Administrators: are users who can access the administration features (such as staff accounts and profiles) and/or the analytics consoles. These areas require the most RAM to function properly.  SUPPORTED PLATFORMS Oracle B2C Service has adopted a ""Last Two Releases"" policy, which means that new versions of the Oracle B2C Service software are tested using the combinations of the last two releases of the Windows OS (Operating System). If a new OS release, OS service patch, or OS component such as a .NET or a browser releases Â is announced during the product cycle, it is Â not incorporated it into the test cycle until the next Â product release of Oracle B2C Service. Â  We will not change the supported platforms in currently released version if a new release of an OS, or component becomes available during the release cycle. Additional platforms would be added for the next Â release of B2C Service if applicable. In addition, we do not provide technical support on platforms not listed in the above referenced answer links for Infrastructure Requirements per release. We understand our customers' desire to utilize new technologies in the OS and browsers. However, we ask for your patience in helping us ensure that the product and services that we provide meets your needs and expectations in quality and reliability in a stable environment.  UNSUPPORTED PLATFORMS Oracle provides support only for OS platforms and OS components specifically defined in the ""Oracle B2C Service Infrastructure Requirements"" document. No other platforms are supported. Â   Notes: The Supported Customer Platforms Guide for your version can be accessed from Answer ID 6532: Oracle B2C Service Supported Customer Platforms Guides. For Supported Configurations for Agent Browser UI (BUI), refer to: Answer ID 9527: Supported browsers for the Agent Browser User Interface."
;;;;;
Number of files that can be attached to an incident;Answer ID 43;How many files can I attach to incidents and answers in Oracle B2C Service?;['Answer ID 280', 'Answer ID 278', 'Answer ID 5168'];   File Attachments Oracle B2C Service;  The pages in Oracle B2C Service where files can be attached are associated with creating, editing, or responding to incidents and creating/editing answers. There is no hard limit on the number of files that can be attached. However, there is a maximum size for file attachments (default is 20 MB, Â refer to Â Answer ID 280: Maximum size of file attachments Â for more information). The pages where files can be attached are as follows:  Enduser ask a question page Enduser incident update page  Â  Â  Â  Â  See Â Answer ID 278: Allowing customers to include file attachments with their assistance requests Â for more information   Agent console incident workspace Â (Note: The incident workspace must have the File Attachments control included in the workspace.)   Agent console answer workspace Â (Note: The answer workspace must include the File Attachments control.)   For additional information, refer to the 'Attaching Files to Incidents' section in online documentation for the version your site is currently running. To access Oracle B2C Service manuals and documentation online, refer to the Documentation for Oracle B2C Service Products.
